country,year,earthquakes,volcanoes,active_since_1800,active_since_1960,current_erupting
Afghanistan,2018,1,0,0,0,
Afghanistan,2019,1,0,0,0,
Afghanistan,2022,1,0,0,0,
Albania,2019,1,0,0,0,
Algeria,2021,1,3,0,0,[]
Argentina,2019,2,34,6,3,[]
Argentina,2020,1,34,6,3,[]
Argentina,2021,3,34,6,3,[]
Argentina,2022,2,34,6,3,[]
Australia,2019,1,4,2,2,[Heard]
Bolivia,2018,1,7,1,1,[]
Bolivia,2019,1,7,1,1,[]
Brazil,2019,1,0,0,0,
Brazil,2022,1,0,0,0,
Canada,2018,3,24,1,0,[]
Canada,2019,4,24,1,0,[]
Chile,2018,3,91,35,19,[Villarrica]
Chile,2019,6,91,35,19,[Villarrica]
Chile,2020,11,91,35,19,[Villarrica]
Chile,2021,3,91,35,19,[Villarrica]
Chile,2022,5,91,35,19,[Villarrica]
China,2020,2,10,3,0,[]
China,2021,2,10,3,0,[]
China,2022,2,10,3,0,[]
Colombia,2018,1,14,8,4,[Nevado del Ruiz]
Colombia,2019,2,14,8,4,[Nevado del Ruiz]
Costa Rica,2018,1,10,6,5,[Rincon de la Vieja;Poas]
Costa Rica,2020,1,10,6,5,[Rincon de la Vieja;Poas]
Croatia,2020,1,0,0,0,
Cyprus,2022,1,0,0,0,
Ecuador,2018,1,36,18,12,[Fernandina;Reventador;Sangay]
Ecuador,2019,2,36,18,12,[Fernandina;Reventador;Sangay]
El Salvador,2018,1,20,5,3,[]
El Salvador,2019,1,20,5,3,[]
El Salvador,2021,1,20,5,3,[]
Fiji,2018,6,2,0,0,[]
Fiji,2019,1,2,0,0,[]
Fiji,2021,2,2,0,0,[]
France,2018,8,19,11,8,[]
France,2019,3,19,11,8,[]
France,2021,2,19,11,8,[]
France,2022,1,19,11,8,[]
Greece,2018,1,4,2,0,[]
Greece,2019,1,4,2,0,[]
Greece,2020,2,4,2,0,[]
Greece,2021,3,4,2,0,[]
Guatemala,2022,1,21,7,5,[Santa Maria;Fuego]
Haiti,2021,1,0,0,0,
Honduras,2018,1,3,0,0,[]
Honduras,2020,1,3,0,0,[]
Iceland,2020,1,35,14,10,[Reykjanes]
India,2020,1,2,1,1,[Barren Island]
India,2021,2,2,1,1,[Barren Island]
Indonesia,2018,14,116,74,55,[Semeru;Ruang;Karangetang;Dukono;Ibu;Lewotobi;Lewotolok;Merapi;Marapi]
Indonesia,2019,14,116,74,55,[Semeru;Ruang;Karangetang;Dukono;Ibu;Lewotobi;Lewotolok;Merapi;Marapi]
Indonesia,2020,13,116,74,55,[Semeru;Ruang;Karangetang;Dukono;Ibu;Lewotobi;Lewotolok;Merapi;Marapi]
Indonesia,2021,14,116,74,55,[Semeru;Ruang;Karangetang;Dukono;Ibu;Lewotobi;Lewotolok;Merapi;Marapi]
Indonesia,2022,11,116,74,55,[Semeru;Ruang;Karangetang;Dukono;Ibu;Lewotobi;Lewotolok;Merapi;Marapi]
Iran,2018,2,1,0,0,[]
Iran,2021,2,1,0,0,[]
Iran,2022,2,1,0,0,[]
Jamaica,2020,1,0,0,0,
Japan,2018,3,121,62,40,[Suwanosejima;Kikai;Aira;Ioto]
Japan,2019,8,121,62,40,[Suwanosejima;Kikai;Aira;Ioto]
Japan,2020,5,121,62,40,[Suwanosejima;Kikai;Aira;Ioto]
Japan,2021,8,121,62,40,[Suwanosejima;Kikai;Aira;Ioto]
Japan,2022,6,121,62,40,[Suwanosejima;Kikai;Aira;Ioto]
Laos,2019,1,0,0,0,
Mauritius,2019,1,0,0,0,
Mexico,2018,2,36,9,5,[Popocatepetl]
Mexico,2019,2,36,9,5,[Popocatepetl]
Mexico,2020,2,36,9,5,[Popocatepetl]
Mexico,2021,2,36,9,5,[Popocatepetl]
Mexico,2022,5,36,9,5,[Popocatepetl]
Micronesia,2020,1,0,0,0,
Mongolia,2021,1,3,0,0,[]
Myanmar,2018,1,1,0,0,[]
Myanmar,2021,1,1,0,0,[]
New Zealand,2018,2,24,9,8,[]
New Zealand,2019,5,24,9,8,[]
New Zealand,2021,9,24,9,8,[]
New Zealand,2022,1,24,9,8,[]
Nicaragua,2021,2,13,8,6,[Masaya]
Nicaragua,2022,1,13,8,6,[Masaya]
Norway,2018,1,2,1,1,[]
Palau,2019,1,0,0,0,
Palau,2020,1,0,0,0,
Panama,2019,2,1,0,0,[]
Panama,2021,3,1,0,0,[]
Panama,2022,2,1,0,0,[]
Papua New Guinea,2018,16,44,20,13,[Langila;Bagana;Manam]
Papua New Guinea,2019,10,44,20,13,[Langila;Bagana;Manam]
Papua New Guinea,2020,10,44,20,13,[Langila;Bagana;Manam]
Papua New Guinea,2021,7,44,20,13,[Langila;Bagana;Manam]
Papua New Guinea,2022,7,44,20,13,[Langila;Bagana;Manam]
Peru,2018,2,16,5,3,[Sabancaya]
Peru,2019,2,16,5,3,[Sabancaya]
Peru,2020,1,16,5,3,[Sabancaya]
Peru,2021,2,16,5,3,[Sabancaya]
Peru,2022,2,16,5,3,[Sabancaya]
Philippines,2018,5,37,14,6,[Mayon;Taal]
Philippines,2019,10,37,14,6,[Mayon;Taal]
Philippines,2020,8,37,14,6,[Mayon;Taal]
Philippines,2021,5,37,14,6,[Mayon;Taal]
Philippines,2022,9,37,14,6,[Mayon;Taal]
Russia,2018,10,115,49,27,[Bezymianny;Sheveluch;Ebeko]
Russia,2019,4,115,49,27,[Bezymianny;Sheveluch;Ebeko]
Russia,2020,5,115,49,27,[Bezymianny;Sheveluch;Ebeko]
Russia,2021,2,115,49,27,[Bezymianny;Sheveluch;Ebeko]
Russia,2022,1,115,49,27,[Bezymianny;Sheveluch;Ebeko]
Solomon Islands,2018,3,8,4,2,[Tinakula;Kavachi]
Solomon Islands,2019,1,8,4,2,[Tinakula;Kavachi]
