country,year,earthquakes,volcanoes,active_since_1800,active_since_1960,current_erupting
Afghanistan,2023,6,0,0,0,
Antigua and Barbuda,2023,1,0,0,0,
Argentina,2023,7,34,6,3,[]
Canada,2023,1,24,1,0,[]
Chile,2023,3,91,35,19,[Villarrica]
Colombia,2023,1,14,8,4,[Nevado del Ruiz]
Ecuador,2023,1,36,18,12,[Fernandina;Reventador;Sangay]
El Salvador,2023,1,20,5,3,[]
Fiji,2023,2,2,0,0,[]
France,2023,2,19,11,8,[]
Guatemala,2023,1,21,7,5,[Santa Maria;Fuego]
Indonesia,2023,16,116,74,55,[Semeru;Ruang;Karangetang;Dukono;Ibu;Lewotobi;Lewotolok;Merapi;Marapi]
Japan,2023,10,121,62,40,[Suwanosejima;Kikai;Aira;Ioto]
Mexico,2023,1,36,9,5,[Popocatepetl]
Morocco,2023,1,0,0,0,
New Zealand,2023,6,24,9,8,[]
Panama,2023,2,1,0,0,[]
Papua New Guinea,2023,10,44,20,13,[Langila;Bagana;Manam]
Peru,2023,1,16,5,3,[Sabancaya]
Philippines,2023,15,37,14,6,[Mayon;Taal]
Russia,2023,3,115,49,27,[Bezymianny;Sheveluch;Ebeko]
Solomon Islands,2023,1,8,4,2,[Tinakula;Kavachi]
Tajikistan,2023,1,0,0,0,
Tonga,2023,8,21,15,9,[Tofua]
Turkey,2023,6,7,2,0,[]
United States,2023,4,165,63,39,[Great Sitkin]
Vanuatu,2023,8,14,12,9,[Yasur]
Algeria,2023,0,3,0,0,[]
Armenia,2023,0,5,0,0,[]
Australia,2023,0,4,2,2,[Heard]
Azerbaijan,2023,0,2,0,0,[]
Bolivia,2023,0,7,1,1,[]
Cabo Verde,2023,0,2,1,1,[]
Cameroon,2023,0,3,1,1,[]
Chad,2023,0,4,0,0,[]
China,2023,0,10,3,0,[]
Comoros,2023,0,2,1,1,[]
Costa Rica,2023,0,10,6,5,[Rincon de la Vieja;Poas]
DR Congo,2023,0,4,3,2,[Nyamulagira]
Djibouti,2023,0,4,2,1,[]
Dominica,2023,0,5,1,1,[]
Equatorial Guinea,2023,0,3,1,0,[]
Eritrea,2023,0,8,2,1,[]
Ethiopia,2023,0,50,10,5,[Erta Ale]
Georgia,2023,0,2,0,0,[]
Germany,2023,0,1,0,0,[]
Greece,2023,0,4,2,0,[]
Grenada,2023,0,2,1,1,[]
Honduras,2023,0,3,0,0,[]
Iceland,2023,0,35,14,10,[Reykjanes]
India,2023,0,2,1,1,[Barren Island]
Iran,2023,0,1,0,0,[]
Italy,2023,0,13,6,2,[Stromboli;Etna]
Jordan,2023,0,1,0,0,[]
Kenya,2023,0,21,5,0,[]
Madagascar,2023,0,5,0,0,[]
Mongolia,2023,0,3,0,0,[]
Myanmar,2023,0,1,0,0,[]
Netherlands,2023,0,2,0,0,[]
Nicaragua,2023,0,13,8,6,[Masaya]
Niger,2023,0,1,0,0,[]
North Korea,2023,0,2,1,0,[]
Norway,2023,0,2,1,1,[]
Portugal,2023,0,13,5,1,[]
Rwanda,2023,0,3,1,0,[]
Saint Kitts and Nevis,2023,0,2,0,0,[]
Saint Lucia,2023,0,1,0,0,[]
Saint Vincent and the Grenadines,2023,0,1,1,1,[]
Samoa,2023,0,2,1,0,[]
Saudi Arabia,2023,0,8,1,0,[]
South Africa,2023,0,2,1,1,[]
South Korea,2023,0,3,0,0,[]
Spain,2023,0,8,4,2,[]
Sudan,2023,0,4,0,0,[]
Syria,2023,0,1,0,0,[]
Taiwan,2023,0,2,1,0,[]
Tanzania,2023,0,6,3,1,[Ol Doinyo Lengai]
Uganda,2023,0,7,0,0,[]
United Kingdom,2023,0,14,10,9,[Saunders]
Vietnam,2023,0,2,1,0,[]
Yemen,2023,0,10,2,2,[]
