DUT,CMH,CML,freq,Sys11,Sys14
open,3,2,10000,2.21E-13,2.25E-13
open,3,2,11000,2.22E-13,2.28E-13
open,3,2,12000,2.22E-13,2.27E-13
open,3,2,13000,2.22E-13,2.27E-13
open,3,2,14000,2.22E-13,2.27E-13
open,3,2,15000,2.22E-13,2.28E-13
open,3,2,16000,2.22E-13,2.27E-13
open,3,2,17000,2.22E-13,2.27E-13
open,3,2,18000,2.22E-13,2.26E-13
open,3,2,19000,2.23E-13,2.27E-13
open,3,2,20000,2.22E-13,2.27E-13
open,3,2,21000,2.22E-13,2.27E-13
open,3,2,22000,2.22E-13,2.27E-13
open,3,2,23000,2.22E-13,2.27E-13
open,3,2,24000,2.23E-13,2.27E-13
open,3,2,25000,2.21E-13,2.27E-13
open,3,2,26000,2.22E-13,2.27E-13
open,3,2,27000,2.20E-13,2.17E-13
open,3,2,28000,2.22E-13,2.28E-13
open,3,2,29000,2.21E-13,2.26E-13
open,3,2,30000,2.21E-13,2.27E-13
open,3,2,31000,2.21E-13,2.26E-13
open,3,2,32000,2.21E-13,2.26E-13
open,3,2,33000,2.21E-13,2.26E-13
open,3,2,34000,2.21E-13,2.26E-13
open,3,2,35000,2.21E-13,2.26E-13
open,3,2,36000,2.20E-13,2.25E-13
open,3,2,37000,2.21E-13,2.25E-13
open,3,2,38000,2.20E-13,2.25E-13
open,3,2,39000,2.20E-13,2.25E-13
open,3,2,40000,2.20E-13,2.25E-13
open,3,2,41000,2.21E-13,2.24E-13
open,3,2,42000,2.20E-13,2.24E-13
open,3,2,43000,2.20E-13,2.24E-13
open,3,2,44000,2.20E-13,2.24E-13
open,3,2,45000,2.21E-13,2.18E-13
open,3,2,46000,2.20E-13,2.26E-13
open,3,2,47000,2.20E-13,2.24E-13
open,3,2,48000,2.20E-13,2.24E-13
open,3,2,49000,2.20E-13,2.24E-13
open,3,2,50000,2.20E-13,2.24E-13
open,3,2,51000,2.19E-13,2.24E-13
open,3,2,52000,2.20E-13,2.23E-13
open,3,2,53000,2.19E-13,2.24E-13
open,3,2,54000,2.19E-13,2.23E-13
open,3,2,55000,2.19E-13,2.23E-13
open,3,2,56000,2.19E-13,2.23E-13
open,3,2,57000,2.19E-13,2.23E-13
open,3,2,58000,2.19E-13,2.23E-13
open,3,2,59000,2.19E-13,2.23E-13
open,3,2,60000,2.18E-13,2.22E-13
open,3,2,61000,2.19E-13,2.22E-13
open,3,2,62000,2.19E-13,2.23E-13
open,3,2,63000,2.17E-13,2.25E-13
open,3,2,64000,2.18E-13,2.22E-13
open,3,2,65000,2.18E-13,2.22E-13
open,3,2,66000,2.18E-13,2.23E-13
open,3,2,67000,2.18E-13,2.23E-13
open,3,2,68000,2.18E-13,2.22E-13
open,3,2,69000,2.18E-13,2.23E-13
open,3,2,70000,2.18E-13,2.22E-13
open,3,2,71000,2.18E-13,2.23E-13
open,3,2,72000,2.18E-13,2.23E-13
open,3,2,73000,2.18E-13,2.23E-13
open,3,2,74000,2.18E-13,2.23E-13
open,3,2,75000,2.17E-13,2.22E-13
open,3,2,76000,2.17E-13,2.22E-13
open,3,2,77000,2.17E-13,2.23E-13
open,3,2,78000,2.17E-13,2.22E-13
open,3,2,79000,2.17E-13,2.22E-13
open,3,2,80000,2.17E-13,2.22E-13
open,3,2,81000,2.17E-13,2.20E-13
open,3,2,82000,2.17E-13,2.23E-13
open,3,2,83000,2.17E-13,2.22E-13
open,3,2,84000,2.17E-13,2.22E-13
open,3,2,85000,2.17E-13,2.22E-13
open,3,2,86000,2.16E-13,2.22E-13
open,3,2,87000,2.16E-13,2.22E-13
open,3,2,88000,2.16E-13,2.22E-13
open,3,2,89000,2.16E-13,2.22E-13
open,3,2,90000,2.16E-13,2.21E-13
open,3,2,91000,2.16E-13,2.21E-13
open,3,2,92000,2.16E-13,2.22E-13
open,3,2,93000,2.16E-13,2.22E-13
open,3,2,94000,2.16E-13,2.21E-13
open,3,2,95000,2.16E-13,2.21E-13
open,3,2,96000,2.16E-13,2.21E-13
open,3,2,97000,2.16E-13,2.22E-13
open,3,2,98000,2.16E-13,2.23E-13
open,3,2,99000,2.15E-13,2.26E-13
open,3,2,100000,2.15E-13,2.21E-13
open,3,2,110000,2.15E-13,2.22E-13
open,3,2,120000,2.14E-13,2.22E-13
open,3,2,130000,2.14E-13,2.22E-13
open,3,2,140000,2.13E-13,2.23E-13
open,3,2,150000,2.12E-13,2.23E-13
open,3,2,160000,2.12E-13,2.23E-13
open,3,2,170000,2.11E-13,2.22E-13
open,3,2,180000,2.10E-13,2.21E-13
open,3,2,190000,2.10E-13,2.21E-13
open,3,2,200000,2.09E-13,2.20E-13
open,3,2,210000,2.08E-13,2.20E-13
open,3,2,220000,2.08E-13,2.20E-13
open,3,2,230000,2.07E-13,2.19E-13
open,3,2,240000,2.07E-13,2.18E-13
open,3,2,250000,2.00E-13,2.19E-13
open,3,2,260000,2.06E-13,2.18E-13
open,3,2,270000,2.05E-13,2.17E-13
open,3,2,280000,2.05E-13,2.17E-13
open,3,2,290000,2.04E-13,2.16E-13
open,3,2,300000,2.04E-13,2.16E-13
open,3,2,310000,2.03E-13,2.15E-13
open,3,2,320000,2.03E-13,2.15E-13
open,3,2,330000,2.02E-13,2.14E-13
open,3,2,340000,2.02E-13,2.14E-13
open,3,2,350000,2.01E-13,2.13E-13
open,3,2,360000,2.01E-13,2.13E-13
open,3,2,370000,2.00E-13,2.12E-13
