region,prefecture,volcanoes,area
Hokkaido,Hokkaido,20,8.342
Tohoku,Aomori,4,0.965
Tohoku,Akita,2,1.164
Tohoku,Iwate,3,1.528
Tohoku,Yamagata,2,0.933
Tohoku,Miyagi,2,0.728
Tohoku,Fukushima,5,1.378
Kanto,Gunma,3,0.636
Kanto,Tochigi,3,0.641
Kanto,Ibaraki,0,0.61
Kanto,Saitama,0,0.38
Kanto,Tokyo,15,0.219
Kanto,Kanagawa,1,0.242
Kanto,Chiba,0,0.516
Chubu,Niigata,2,1.258
Chubu,Toyama,1,0.425
Chubu,Ishikawa,1,0.419
Chubu,Fukui,0,0.419
Chubu,Nagano,3,1.356
Chubu,Gifu,3,1.062
Chubu,Yamanashi,0,0.447
Chubu,Shizuoka,2,0.778
Chubu,Aichi,0,0.517
Kansai,Kyoto,0,0.461
Kansai,Hyogo,0,0.84
Kansai,Shiga,0,0.402
Kansai,Osaka,0,0.191
Kansai,Mie,0,0.577
Kansai,Nara,0,0.369
Kansai,Wakayama,0,0.472
Chugoku,Tottori,0,0.351
Chugoku,Shimane,1,0.671
Chugoku,Yamaguchi,1,0.611
Chugoku,Okayama,0,0.711
Chugoku,Hiroshima,0,0.848
Shikoku,Ehime,0,0.568
Shikoku,Kagawa,0,0.188
Shikoku,Tokushima,0,0.415
Shikoku,Kochi,0,0.71
Kyushu,Fukuoka,0,0.499
Kyushu,Saga,0,0.244
Kyushu,Nagasaki,2,0.413
Kyushu,Kumamoto,1,0.741
Kyushu,Miyazaki,0,0.774
Kyushu,Kagoshima,11,0.919
Kyushu,Okinawa,1,0.228
